"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Jordan Spieth",11800,"Golf@Golf 03/08/2018 05:00AM ET",77.357,"Golf"
"G","Rory McIlroy",11300,"Golf@Golf 03/08/2018 05:00AM ET",81.917,"Golf"
"G","Sergio Garcia",10900,"Golf@Golf 03/08/2018 05:00AM ET",85.375,"Golf"
"G","Henrik Stenson",10200,"Golf@Golf 03/08/2018 05:00AM ET",83.5,"Golf"
"G","Justin Rose",10000,"Golf@Golf 03/08/2018 05:00AM ET",96.5,"Golf"
"G","Paul Casey",9800,"Golf@Golf 03/08/2018 05:00AM ET",80.5,"Golf"
"G","Tiger Woods",9500,"Golf@Golf 03/08/2018 05:00AM ET",60.625,"Golf"
"G","Tony Finau",9400,"Golf@Golf 03/08/2018 05:00AM ET",77.444,"Golf"
"G","Ryan Moore",9100,"Golf@Golf 03/08/2018 05:00AM ET",64.417,"Golf"
"G","Gary Woodland",9000,"Golf@Golf 03/08/2018 05:00AM ET",76.15,"Golf"
"G","Adam Hadwin",8800,"Golf@Golf 03/08/2018 05:00AM ET",73.056,"Golf"
"G","Adam Scott",8700,"Golf@Golf 03/08/2018 05:00AM ET",51.833,"Golf"
"G","Branden Grace",8600,"Golf@Golf 03/08/2018 05:00AM ET",83.333,"Golf"
"G","Webb Simpson",8500,"Golf@Golf 03/08/2018 05:00AM ET",68.188,"Golf"
"G","Byeong-Hun An",8400,"Golf@Golf 03/08/2018 05:00AM ET",67.05,"Golf"
"G","Matthew Fitzpatrick",8300,"Golf@Golf 03/08/2018 05:00AM ET",81.95,"Golf"
"G","Matt Kuchar",8200,"Golf@Golf 03/08/2018 05:00AM ET",71.188,"Golf"
"G","Louis Oosthuizen",8100,"Golf@Golf 03/08/2018 05:00AM ET",73.2,"Golf"
"G","Kevin Na",8000,"Golf@Golf 03/08/2018 05:00AM ET",67.75,"Golf"
"G","Cameron Smith",8000,"Golf@Golf 03/08/2018 05:00AM ET",90.063,"Golf"
"G","Chez Reavie",7900,"Golf@Golf 03/08/2018 05:00AM ET",80.045,"Golf"
"G","Luke List",7800,"Golf@Golf 03/08/2018 05:00AM ET",67.318,"Golf"
"G","Jason Dufner",7800,"Golf@Golf 03/08/2018 05:00AM ET",68.833,"Golf"
"G","Patrick Reed",7700,"Golf@Golf 03/08/2018 05:00AM ET",64.091,"Golf"
"G","Zach Johnson",7700,"Golf@Golf 03/08/2018 05:00AM ET",81.083,"Golf"
"G","Jason Kokrak",7700,"Golf@Golf 03/08/2018 05:00AM ET",73.25,"Golf"
"G","Ollie Schniederjans",7700,"Golf@Golf 03/08/2018 05:00AM ET",68.778,"Golf"
"G","Bill Haas",7600,"Golf@Golf 03/08/2018 05:00AM ET",53.5,"Golf"
"G","Martin Laird",7600,"Golf@Golf 03/08/2018 05:00AM ET",62.5,"Golf"
"G","Ross Fisher",7600,"Golf@Golf 03/08/2018 05:00AM ET",91.125,"Golf"
"G","Steve Stricker",7500,"Golf@Golf 03/08/2018 05:00AM ET",74.25,"Golf"
"G","Kevin Streelman",7500,"Golf@Golf 03/08/2018 05:00AM ET",73.55,"Golf"
"G","Charl Schwartzel",7500,"Golf@Golf 03/08/2018 05:00AM ET",64.063,"Golf"
"G","Brandt Snedeker",7500,"Golf@Golf 03/08/2018 05:00AM ET",58.667,"Golf"
"G","Russell Knox",7500,"Golf@Golf 03/08/2018 05:00AM ET",66.4,"Golf"
"G","Charles Howell",7400,"Golf@Golf 03/08/2018 05:00AM ET",67.35,"Golf"
"G","Chesson Hadley",7400,"Golf@Golf 03/08/2018 05:00AM ET",77.2,"Golf"
"G","Jimmy Walker",7400,"Golf@Golf 03/08/2018 05:00AM ET",47.929,"Golf"
"G","Ryan Palmer",7400,"Golf@Golf 03/08/2018 05:00AM ET",62.8,"Golf"
"G","Bryson DeChambeau",7400,"Golf@Golf 03/08/2018 05:00AM ET",66.889,"Golf"
"G","Jim Furyk",7400,"Golf@Golf 03/08/2018 05:00AM ET",33.5,"Golf"
"G","Scott Stallings",7300,"Golf@Golf 03/08/2018 05:00AM ET",62.545,"Golf"
"G","Charley Hoffman",7300,"Golf@Golf 03/08/2018 05:00AM ET",66.75,"Golf"
"G","Jamie Lovemark",7300,"Golf@Golf 03/08/2018 05:00AM ET",52.85,"Golf"
"G","Lucas Glover",7300,"Golf@Golf 03/08/2018 05:00AM ET",63.611,"Golf"
"G","John Huh",7300,"Golf@Golf 03/08/2018 05:00AM ET",59.545,"Golf"
"G","Graeme McDowell",7300,"Golf@Golf 03/08/2018 05:00AM ET",48.909,"Golf"
"G","J.B. Holmes",7300,"Golf@Golf 03/08/2018 05:00AM ET",52.688,"Golf"
"G","Patrick Rodgers",7300,"Golf@Golf 03/08/2018 05:00AM ET",49.542,"Golf"
"G","Sam Burns",7300,"Golf@Golf 03/08/2018 05:00AM ET",57.375,"Golf"
"G","William McGirt",7300,"Golf@Golf 03/08/2018 05:00AM ET",58.875,"Golf"
"G","Kyle Stanley",7200,"Golf@Golf 03/08/2018 05:00AM ET",64.167,"Golf"
"G","Ian Poulter",7200,"Golf@Golf 03/08/2018 05:00AM ET",62.944,"Golf"
"G","Bud Cauley",7200,"Golf@Golf 03/08/2018 05:00AM ET",59.833,"Golf"
"G","Derek Fathauer",7200,"Golf@Golf 03/08/2018 05:00AM ET",57.682,"Golf"
"G","Aaron Baddeley",7200,"Golf@Golf 03/08/2018 05:00AM ET",52.7,"Golf"
"G","Si Woo Kim",7200,"Golf@Golf 03/08/2018 05:00AM ET",59.15,"Golf"
"G","Kelly Kraft",7200,"Golf@Golf 03/08/2018 05:00AM ET",51.773,"Golf"
"G","Ted Potter",7200,"Golf@Golf 03/08/2018 05:00AM ET",49.909,"Golf"
"G","Scott Brown",7200,"Golf@Golf 03/08/2018 05:00AM ET",56.208,"Golf"
"G","Benjamin Silverman",7200,"Golf@Golf 03/08/2018 05:00AM ET",55.625,"Golf"
"G","Abraham Ancer",7200,"Golf@Golf 03/08/2018 05:00AM ET",47.273,"Golf"
"G","Austin Cook",7100,"Golf@Golf 03/08/2018 05:00AM ET",78.7,"Golf"
"G","Chris Kirk",7100,"Golf@Golf 03/08/2018 05:00AM ET",64.545,"Golf"
"G","Beau Hossler",7100,"Golf@Golf 03/08/2018 05:00AM ET",64.409,"Golf"
"G","Dominic Bozzelli",7100,"Golf@Golf 03/08/2018 05:00AM ET",52.333,"Golf"
"G","Shane Lowry",7100,"Golf@Golf 03/08/2018 05:00AM ET",61.682,"Golf"
"G","Sang-Moon Bae",7100,"Golf@Golf 03/08/2018 05:00AM ET",37,"Golf"
"G","Retief Goosen",7100,"Golf@Golf 03/08/2018 05:00AM ET",53.278,"Golf"
"G","Tyrone Van Aswegen",7100,"Golf@Golf 03/08/2018 05:00AM ET",58.458,"Golf"
"G","Chad Campbell",7100,"Golf@Golf 03/08/2018 05:00AM ET",43.045,"Golf"
"G","Sean O'Hair",7100,"Golf@Golf 03/08/2018 05:00AM ET",44.143,"Golf"
"G","Tom Lovelady",7100,"Golf@Golf 03/08/2018 05:00AM ET",48.682,"Golf"
"G","Talor Gooch",7100,"Golf@Golf 03/08/2018 05:00AM ET",55.958,"Golf"
"G","Sam Saunders",7000,"Golf@Golf 03/08/2018 05:00AM ET",57.611,"Golf"
"G","Cheng-Tsung Pan",7000,"Golf@Golf 03/08/2018 05:00AM ET",57.55,"Golf"
"G","Stewart Cink",7000,"Golf@Golf 03/08/2018 05:00AM ET",62.833,"Golf"
"G","Brian Gay",7000,"Golf@Golf 03/08/2018 05:00AM ET",63.409,"Golf"
"G","Keegan Bradley",7000,"Golf@Golf 03/08/2018 05:00AM ET",63.875,"Golf"
"G","Harris English",7000,"Golf@Golf 03/08/2018 05:00AM ET",44.409,"Golf"
"G","Brandon Harkins",7000,"Golf@Golf 03/08/2018 05:00AM ET",70.636,"Golf"
"G","Nick Watney",7000,"Golf@Golf 03/08/2018 05:00AM ET",54.313,"Golf"
"G","Luke Donald",7000,"Golf@Golf 03/08/2018 05:00AM ET",51.625,"Golf"
"G","David Lingmerth",7000,"Golf@Golf 03/08/2018 05:00AM ET",45.125,"Golf"
"G","Danny Lee",7000,"Golf@Golf 03/08/2018 05:00AM ET",45.4,"Golf"
"G","Jimmy Stanger",7000,"Golf@Golf 03/08/2018 05:00AM ET",51.75,"Golf"
"G","Grayson Murray",6900,"Golf@Golf 03/08/2018 05:00AM ET",66.5,"Golf"
"G","Aaron Wise",6900,"Golf@Golf 03/08/2018 05:00AM ET",56.045,"Golf"
"G","Billy Horschel",6900,"Golf@Golf 03/08/2018 05:00AM ET",44.857,"Golf"
"G","Harold Varner",6900,"Golf@Golf 03/08/2018 05:00AM ET",55.292,"Golf"
"G","Padraig Harrington",6900,"Golf@Golf 03/08/2018 05:00AM ET",50.3,"Golf"
"G","Martin Piller",6900,"Golf@Golf 03/08/2018 05:00AM ET",53.5,"Golf"
"G","Ryan Blaum",6900,"Golf@Golf 03/08/2018 05:00AM ET",44.545,"Golf"
"G","Camilo Villegas",6900,"Golf@Golf 03/08/2018 05:00AM ET",48.091,"Golf"
"G","Richy Werenski",6900,"Golf@Golf 03/08/2018 05:00AM ET",45.333,"Golf"
"G","Colt Knost",6900,"Golf@Golf 03/08/2018 05:00AM ET",44.429,"Golf"
"G","Jonathan Randolph",6900,"Golf@Golf 03/08/2018 05:00AM ET",45.55,"Golf"
"G","Rod Pampling",6900,"Golf@Golf 03/08/2018 05:00AM ET",55.643,"Golf"
"G","Ben Martin",6900,"Golf@Golf 03/08/2018 05:00AM ET",65.2,"Golf"
"G","Rory Sabbatini",6800,"Golf@Golf 03/08/2018 05:00AM ET",56.45,"Golf"
"G","Nick Taylor",6800,"Golf@Golf 03/08/2018 05:00AM ET",58.727,"Golf"
"G","Hudson Swafford",6800,"Golf@Golf 03/08/2018 05:00AM ET",62.833,"Golf"
"G","Sung Kang",6800,"Golf@Golf 03/08/2018 05:00AM ET",55.3,"Golf"
"G","Robert Garrigus",6800,"Golf@Golf 03/08/2018 05:00AM ET",51.167,"Golf"
"G","Seamus Power",6800,"Golf@Golf 03/08/2018 05:00AM ET",47.65,"Golf"
"G","Ryan Armour",6800,"Golf@Golf 03/08/2018 05:00AM ET",61.292,"Golf"
"G","Michael Kim",6800,"Golf@Golf 03/08/2018 05:00AM ET",44.45,"Golf"
"G","Blayne Barber",6800,"Golf@Golf 03/08/2018 05:00AM ET",52.857,"Golf"
"G","Peter Malnati",6800,"Golf@Golf 03/08/2018 05:00AM ET",46.5,"Golf"
"G","Fabian Gomez",6800,"Golf@Golf 03/08/2018 05:00AM ET",42.727,"Golf"
"G","Bob Estes",6800,"Golf@Golf 03/08/2018 05:00AM ET",19,"Golf"
"G","Matt Every",6800,"Golf@Golf 03/08/2018 05:00AM ET",40.833,"Golf"
"G","Chris Couch",6800,"Golf@Golf 03/08/2018 05:00AM ET",0,"Golf"
"G","Vaughn Taylor",6700,"Golf@Golf 03/08/2018 05:00AM ET",62.364,"Golf"
"G","Tom Hoge",6700,"Golf@Golf 03/08/2018 05:00AM ET",61.458,"Golf"
"G","Martin Flores",6700,"Golf@Golf 03/08/2018 05:00AM ET",56.5,"Golf"
"G","Brian Stuard",6700,"Golf@Golf 03/08/2018 05:00AM ET",59.318,"Golf"
"G","Kevin Tway",6700,"Golf@Golf 03/08/2018 05:00AM ET",53.15,"Golf"
"G","Troy Merritt",6700,"Golf@Golf 03/08/2018 05:00AM ET",49.909,"Golf"
"G","Robert Streb",6700,"Golf@Golf 03/08/2018 05:00AM ET",36,"Golf"
"G","Brice Garnett",6700,"Golf@Golf 03/08/2018 05:00AM ET",52.773,"Golf"
"G","Geoff Ogilvy",6700,"Golf@Golf 03/08/2018 05:00AM ET",35.667,"Golf"
"G","Billy Hurley",6700,"Golf@Golf 03/08/2018 05:00AM ET",33.909,"Golf"
"G","Greg Chalmers",6700,"Golf@Golf 03/08/2018 05:00AM ET",43.958,"Golf"
"G","Ernie Els",6700,"Golf@Golf 03/08/2018 05:00AM ET",38.667,"Golf"
"G","D.A. Points",6700,"Golf@Golf 03/08/2018 05:00AM ET",36.65,"Golf"
"G","Tyler Strafaci",6700,"Golf@Golf 03/08/2018 05:00AM ET",0,"Golf"
"G","Alex Cejka",6600,"Golf@Golf 03/08/2018 05:00AM ET",51.056,"Golf"
"G","Mackenzie Hughes",6600,"Golf@Golf 03/08/2018 05:00AM ET",34.5,"Golf"
"G","Nicholas Lindheim",6600,"Golf@Golf 03/08/2018 05:00AM ET",45.1,"Golf"
"G","Tyler Duncan",6600,"Golf@Golf 03/08/2018 05:00AM ET",45.625,"Golf"
"G","Whee Kim",6600,"Golf@Golf 03/08/2018 05:00AM ET",53.136,"Golf"
"G","Stephan Jaeger",6600,"Golf@Golf 03/08/2018 05:00AM ET",47.591,"Golf"
"G","J.J. Henry",6600,"Golf@Golf 03/08/2018 05:00AM ET",36.333,"Golf"
"G","Xin-Jun Zhang",6600,"Golf@Golf 03/08/2018 05:00AM ET",53.091,"Golf"
"G","Davis Love",6600,"Golf@Golf 03/08/2018 05:00AM ET",44.333,"Golf"
"G","Dylan Meyer",6600,"Golf@Golf 03/08/2018 05:00AM ET",0,"Golf"
"G","Smylie Kaufman",6600,"Golf@Golf 03/08/2018 05:00AM ET",34.773,"Golf"
"G","Dou Zecheng",6600,"Golf@Golf 03/08/2018 05:00AM ET",31.5,"Golf"
"G","Rod Perry",6600,"Golf@Golf 03/08/2018 05:00AM ET",0,"Golf"
