RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,Jordan Spieth,23,2.05,160,78
2,2,Paul Casey,24,2.11,190,90
3,3,Chad Campbell,29,2.18,211,97
T4,T4,Dustin Johnson,20,2.20,154,70
T4,T4,Chez Reavie,28,2.20,209,95
6,6,Patrick Cantlay,13,2.21,106,48
T7,T7,Lucas Glover,26,2.23,201,90
T7,T7,Webb Simpson,28,2.23,221,99
9,9,Rickie Fowler,21,2.24,170,76
10,10,Hideki Matsuyama,22,2.26,172,76
11,11,Zac Blair,32,2.30,228,99
T12,T12,Tony Finau,29,2.32,241,104
T12,T12,Adam Hadwin,28,2.32,227,98
T12,T12,Charles Howell III,23,2.32,190,82
T12,T12,Matt Kuchar,26,2.32,213,92
16,16,Jon Rahm,23,2.33,193,83
17,17,Sergio Garcia,17,2.34,145,62
T18,T18,Martin Flores,27,2.35,190,81
T18,T18,Ian Poulter,20,2.35,160,68
T20,T20,Louis Oosthuizen,18,2.37,147,62
T20,T20,Cameron Percy,23,2.37,154,65
T20,T20,Justin Thomas,25,2.37,187,79
23,23,Pat Perez,26,2.39,215,90
T24,T24,Bill Haas,25,2.40,204,85
T24,T24,Brian Harman,30,2.40,240,100
T24,T24,John Huh,28,2.40,211,88
T27,T27,Tom Hoge,17,2.41,111,46
T27,T27,Marc Leishman,25,2.41,217,90
T27,T27,J.T. Poston,28,2.41,210,87
30,30,Brian Gay,25,2.42,189,78
T31,T31,Seamus Power,25,2.43,194,80
T31,T31,Tim Wilkinson,22,2.43,141,58
33,33,Vaughn Taylor,26,2.44,205,84
T34,T34,Daniel Berger,26,2.45,211,86
T34,T34,C.T. Pan,29,2.45,211,86
T36,T36,Andres Gonzales,24,2.46,170,69
T36,T36,Hudson Swafford,28,2.46,221,90
T36,T36,Richy Werenski,26,2.46,182,74
T39,T39,Ryan Armour,20,2.47,146,59
T39,T39,Jim Furyk,18,2.47,126,51
T41,T41,Mark Anderson,20,2.48,129,52
T41,T41,Blayne Barber,25,2.48,176,71
T41,T41,Gonzalo Fernandez-Castaño,22,2.48,139,56
T44,T44,Alex Cejka,28,2.49,192,77
T44,T44,Martin Laird,25,2.49,207,83
T44,T44,Geoff Ogilvy,25,2.49,179,72
T44,T44,Xander Schauffele,28,2.49,229,92
T44,T44,Gary Woodland,26,2.49,222,89
T49,T49,Bud Cauley,28,2.50,220,88
T49,T49,Francesco Molinari,21,2.50,180,72
T49,T49,Brandt Snedeker,15,2.50,125,50
T49,T49,J.J. Spaun,29,2.50,215,86
T53,T53,David Hearn,29,2.51,213,85
T53,T53,Mark Hubbard,27,2.51,186,74
55,55,Russell Henley,27,2.52,244,97
T56,T56,Chris Kirk,28,2.53,210,83
T56,T56,Shawn Stefani,26,2.53,172,68
T58,T58,Graham DeLaet,25,2.54,193,76
T58,T58,Branden Grace,20,2.54,160,63
T58,T58,James Hahn,28,2.54,244,96
T58,T58,Jamie Lovemark,28,2.54,244,96
T58,T58,Rory McIlroy,14,2.54,122,48
63,63,Ryo Ishikawa,20,2.55,143,56
T64,T64,Aaron Baddeley,20,2.56,146,57
T64,T64,Keegan Bradley,29,2.56,261,102
T64,T64,Stewart Cink,26,2.56,238,93
T64,T64,Kyle Stanley,29,2.56,256,100
T68,T68,Whee Kim,27,2.57,185,72
T68,T68,Kevin Na,26,2.57,211,82
T70,T70,Harris English,27,2.58,196,76
T70,T70,Kevin Streelman,26,2.58,227,88
T72,T72,Peter Malnati,29,2.59,220,85
T72,T72,Nick Watney,23,2.59,179,69
74,74,Spencer Levin,31,2.60,221,85
T75,T75,K.J. Choi,25,2.61,172,66
T75,T75,Robert Garrigus,26,2.61,188,72
T75,T75,Morgan Hoffmann,29,2.61,230,88
T75,T75,Patrick Reed,29,2.61,261,100
T75,T75,Chris Stroud,22,2.61,154,59
T80,T80,Ben Crane,26,2.62,207,79
T80,T80,Adam Scott,16,2.62,152,58
T80,T80,Nick Taylor,29,2.62,249,95
T83,T83,Ryan Blaum,29,2.63,252,96
T83,T83,Scott Brown,29,2.63,239,91
T83,T83,Luke Donald,18,2.63,126,48
T83,T83,Ben Martin,27,2.63,208,79
T83,T83,Rory Sabbatini,23,2.63,171,65
T88,T88,Ricky Barnes,31,2.64,243,92
T88,T88,Matt Jones,20,2.64,148,56
T88,T88,Kevin Kisner,28,2.64,259,98
T88,T88,Rick Lamb,19,2.64,132,50
T88,T88,Justin Rose,18,2.64,169,64
T93,T93,Julián Etulain,22,2.65,167,63
T93,T93,J.J. Henry,29,2.65,228,86
T93,T93,David Lingmerth,23,2.65,199,75
T93,T93,Brendan Steele,25,2.65,223,84
T93,T93,Johnson Wagner,26,2.65,167,63
98,98,Phil Mickelson,22,2.66,213,80
T99,T99,Luke List,31,2.67,262,98
T99,T99,William McGirt,28,2.67,222,83
T99,T99,Kevin Tway,27,2.67,235,88
T99,T99,Tyrone Van Aswegen,32,2.67,259,97
T103,T103,Jim Herman,25,2.68,201,75
T103,T103,Troy Merritt,28,2.68,204,76
T103,T103,Ollie Schniederjans,28,2.68,233,87
T103,T103,Camilo Villegas,25,2.68,193,72
T107,T107,Danny Lee,32,2.69,239,89
T107,T107,Robert Streb,30,2.69,253,94
T109,T109,Zach Johnson,23,2.70,208,77
T109,T109,Seung-Yul Noh,31,2.70,235,87
T109,T109,Sean O'Hair,25,2.70,227,84
T112,T112,Ryan Brehm,25,2.71,209,77
T112,T112,Fabián Gómez,21,2.71,160,59
T112,T112,Charley Hoffman,31,2.71,293,108
T112,T112,Billy Horschel,28,2.71,233,86
T112,T112,Shane Lowry,16,2.71,133,49
T112,T112,Harold Varner III,31,2.71,268,99
T118,T118,Retief Goosen,19,2.72,125,46
T118,T118,Michael Kim,28,2.72,245,90
T118,T118,Cameron Tringale,28,2.72,226,83
T118,T118,Jhonattan Vegas,29,2.72,245,90
T122,T122,Chad Collins,26,2.73,169,62
T122,T122,Kyle Reifers,32,2.73,240,88
T122,T122,Charl Schwartzel,18,2.73,164,60
T125,T125,Wesley Bryan,28,2.74,249,91
T125,T125,Sam Saunders,24,2.74,192,70
T127,T127,Steven Alker,23,2.75,173,63
T127,T127,Bryson DeChambeau,31,2.75,245,89
T127,T127,Scott Stallings,27,2.75,212,77
T130,T130,Billy Hurley III,25,2.76,221,80
T130,T130,Smylie Kaufman,26,2.76,196,71
T130,T130,D.A. Points,22,2.76,188,68
T130,T130,Tag Ridings,20,2.76,163,59
T134,T134,Jason Day,20,2.77,183,66
T134,T134,Brett Drewitt,19,2.77,147,53
T134,T134,Jason Dufner,24,2.77,227,82
T134,T134,Brandon Hagy,26,2.77,213,77
T134,T134,Mackenzie Hughes,31,2.77,288,104
T134,T134,Sung Kang,32,2.77,283,102
T134,T134,Trey Mullinax,28,2.77,227,82
141,141,Cameron Smith,26,2.78,228,82
T142,T142,Brooks Koepka,24,2.79,223,80
T142,T142,Ryan Palmer,20,2.79,148,53
144,144,Brian Campbell,20,2.80,143,51
145,145,Steve Wheatcroft,17,2.81,132,47
146,146,Ryan Moore,24,2.82,223,79
147,147,Cody Gribble,28,2.83,218,77
T148,T148,Roberto Castro,25,2.84,193,68
T148,T148,Emiliano Grillo,25,2.84,247,87
T148,T148,Daniel Summerhays,29,2.84,267,94
T151,T151,Jason Bohn,28,2.85,202,71
T151,T151,Rafa Cabrera Bello,19,2.85,171,60
T153,T153,Jonas Blixt,25,2.86,200,70
T153,T153,Nicholas Lindheim,21,2.86,160,56
T153,T153,Bryce Molder,26,2.86,212,74
T153,T153,Brian Stuard,31,2.86,249,87
157,157,J.B. Holmes,23,2.87,218,76
T158,T158,Anirban Lahiri,22,2.88,207,72
T158,T158,Michael Thompson,21,2.88,161,56
T160,T160,Kevin Chappell,27,2.89,260,90
T160,T160,Patton Kizzire,28,2.89,220,76
T160,T160,Hunter Mahan,26,2.89,205,71
T160,T160,Boo Weekley,27,2.89,211,73
164,164,Sebastián Muñoz,17,2.90,142,49
T165,T165,Derek Fathauer,27,2.91,218,75
T165,T165,Grayson Murray,30,2.91,262,90
167,167,Ken Duke,26,2.92,207,71
168,168,Russell Knox,24,2.93,205,70
169,169,Jason Kokrak,28,2.94,279,95
170,170,Dominic Bozzelli,24,2.95,192,65
171,171,Brett Stegmaier,27,2.96,225,76
172,172,Greg Chalmers,28,2.97,211,71
T173,T173,Miguel Angel Carballo,22,2.98,170,57
T173,T173,Graeme McDowell,17,2.98,167,56
175,175,Jimmy Walker,21,3.02,196,65
176,176,Jonathan Randolph,22,3.03,191,63
177,177,Byeong Hun An,22,3.07,221,72
178,178,Kelly Kraft,27,3.11,221,71
179,179,Patrick Rodgers,27,3.15,233,74
T180,T180,Ernie Els,20,3.17,165,52
T180,T180,Brad Fritsch,18,3.17,165,52
182,182,Bubba Watson,22,3.19,201,63
183,183,Si Woo Kim,30,3.23,242,75
T184,T184,Søren Kjeldsen,17,3.24,159,49
T184,T184,Scott Piercy,22,3.24,217,67
186,186,Rod Pampling,22,3.25,231,71
187,187,Carl Pettersson,27,3.41,201,59
T188,T188,Matt Every,30,3.46,242,70
T188,T188,Andrew Loupe,21,3.46,180,52
190,190,Steven Bowditch,27,3.75,206,55
