RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,1,Jordan Spieth,85,1.98,358,181
2,2,Justin Thomas,86,1.74,368,211
3,3,Hideki Matsuyama,83,1.72,338,196
4,4,Rickie Fowler,78,1.70,331,195
T5,T5,Paul Casey,94,1.69,358,212
T5,T5,Dustin Johnson,77,1.69,288,170
7,7,Jon Rahm,90,1.64,352,214
T8,T8,Patrick Cantlay,52,1.55,185,119
T8,T8,Tony Finau,106,1.55,431,278
T10,T10,Chez Reavie,98,1.52,358,235
T10,T10,Brandt Snedeker,53,1.52,205,135
12,12,Marc Leishman,94,1.50,355,236
13,13,Lucas Glover,93,1.49,340,228
14,14,Matt Kuchar,95,1.48,341,231
15,15,Webb Simpson,102,1.47,374,255
T16,T16,Chad Campbell,97,1.46,333,228
T16,T16,Justin Rose,66,1.46,268,183
T18,T18,Sergio Garcia,65,1.45,235,162
T18,T18,Francesco Molinari,75,1.45,285,197
T18,T18,Pat Perez,93,1.45,343,237
21,21,Daniel Berger,91,1.44,340,236
T22,T22,Charles Howell III,86,1.42,294,207
T22,T22,Seamus Power,86,1.42,306,215
T24,T24,Stewart Cink,93,1.41,369,261
T24,T24,Luke List,102,1.41,409,290
T24,T24,Ian Poulter,72,1.41,239,170
T27,T27,Russell Henley,99,1.39,379,272
T27,T27,Rory McIlroy,51,1.39,190,137
T27,T27,Kyle Stanley,104,1.39,393,283
T30,T30,Keegan Bradley,104,1.38,396,288
T30,T30,Brian Harman,104,1.38,376,272
T32,T32,Robert Garrigus,78,1.37,292,213
T32,T32,Bill Haas,92,1.37,298,218
T32,T32,J.T. Poston,95,1.37,338,246
T32,T32,Xander Schauffele,96,1.37,365,266
36,36,Jamie Lovemark,98,1.36,370,272
T37,T37,Andres Gonzales,73,1.35,261,193
T37,T37,Adam Hadwin,98,1.35,362,268
T37,T37,Kevin Na,86,1.35,319,237
T37,T37,Rory Sabbatini,71,1.35,257,191
T41,T41,Jason Day,71,1.34,285,213
T41,T41,Brooks Koepka,88,1.34,347,258
T41,T41,Phil Mickelson,85,1.34,321,240
T41,T41,Brendan Steele,89,1.34,329,245
45,45,Charley Hoffman,112,1.33,436,327
T46,T46,Tom Hoge,54,1.32,180,136
T46,T46,Hudson Swafford,94,1.32,337,256
T46,T46,Vaughn Taylor,90,1.32,313,237
T49,T49,Bud Cauley,92,1.31,324,247
T49,T49,Graham DeLaet,82,1.31,285,217
T49,T49,Martin Flores,88,1.31,283,216
T49,T49,Martin Laird,83,1.31,302,231
T49,T49,Richy Werenski,81,1.31,265,203
T54,T54,Kevin Kisner,105,1.30,359,276
T54,T54,Patrick Reed,107,1.30,376,290
T54,T54,Adam Scott,58,1.30,223,171
T54,T54,Gary Woodland,94,1.30,335,257
T58,T58,Zac Blair,105,1.29,332,257
T58,T58,Cameron Percy,71,1.29,228,177
T58,T58,Ollie Schniederjans,92,1.29,336,260
T61,T61,Ryan Armour,63,1.28,203,159
T61,T61,Ryan Blaum,100,1.28,352,276
T61,T61,Trey Mullinax,88,1.28,322,251
T61,T61,Tag Ridings,67,1.28,227,178
T61,T61,Sam Saunders,76,1.28,278,217
T66,T66,Brian Gay,82,1.27,268,211
T66,T66,Camilo Villegas,76,1.27,278,219
T68,T68,Jason Dufner,89,1.26,320,254
T68,T68,John Huh,92,1.26,299,237
T68,T68,Chris Kirk,89,1.26,309,246
T68,T68,Kevin Tway,96,1.26,330,261
T68,T68,Tim Wilkinson,64,1.26,203,161
T73,T73,Seung-Yul Noh,91,1.25,325,260
T73,T73,Cameron Smith,86,1.25,325,259
T73,T73,J.J. Spaun,92,1.25,310,248
T73,T73,Chris Stroud,67,1.25,222,177
T77,T77,Blayne Barber,77,1.24,272,219
T77,T77,Brandon Hagy,85,1.24,294,238
T77,T77,Matt Jones,64,1.24,202,163
T77,T77,Sung Kang,104,1.24,388,313
T77,T77,Shane Lowry,52,1.24,189,152
T77,T77,Ben Martin,86,1.24,292,236
T77,T77,Louis Oosthuizen,69,1.24,209,168
T84,T84,Michael Kim,94,1.23,332,269
T84,T84,Danny Lee,93,1.23,340,276
T84,T84,Kevin Streelman,90,1.23,310,253
T87,T87,James Hahn,96,1.22,332,273
T87,T87,Anirban Lahiri,72,1.22,293,240
T87,T87,Shawn Stefani,72,1.22,235,192
T87,T87,Nick Taylor,97,1.22,332,272
T91,T91,Scott Brown,95,1.21,329,271
T91,T91,Jim Herman,77,1.21,266,220
T91,T91,Zach Johnson,81,1.21,275,228
T91,T91,David Lingmerth,79,1.21,281,233
T95,T95,Mark Anderson,54,1.20,176,147
T95,T95,Whee Kim,74,1.20,257,214
T97,T97,Aaron Baddeley,61,1.19,202,170
T97,T97,Harris English,84,1.19,275,231
T97,T97,Gonzalo Fernandez-Castaño,63,1.19,188,158
T97,T97,Peter Malnati,91,1.19,302,254
T97,T97,Sean O'Hair,84,1.19,310,260
T97,T97,Harold Varner III,101,1.19,363,304
T103,T103,Julián Etulain,68,1.18,220,186
T103,T103,Emiliano Grillo,90,1.18,323,274
T103,T103,Mackenzie Hughes,106,1.18,379,321
T103,T103,Troy Merritt,82,1.18,271,230
T103,T103,Ryan Moore,82,1.18,287,244
T103,T103,Charl Schwartzel,63,1.18,222,188
T103,T103,Jhonattan Vegas,95,1.18,329,279
T110,T110,Ricky Barnes,100,1.17,315,269
T110,T110,Ryan Brehm,83,1.17,281,240
T110,T110,Kevin Chappell,95,1.17,344,294
T110,T110,Bryson DeChambeau,91,1.17,326,279
T110,T110,David Hearn,93,1.17,282,241
T110,T110,Russell Knox,75,1.17,263,224
T110,T110,Tyrone Van Aswegen,105,1.17,337,288
T110,T110,Nick Watney,75,1.17,236,202
T118,T118,Ben Crane,86,1.16,267,230
T118,T118,Branden Grace,70,1.16,207,178
T118,T118,Morgan Hoffmann,92,1.16,315,272
T118,T118,Grayson Murray,94,1.16,358,308
T118,T118,Scott Piercy,70,1.16,277,239
T118,T118,Scott Stallings,81,1.16,271,233
T118,T118,Robert Streb,98,1.16,328,282
T125,T125,Steven Alker,69,1.15,219,190
T125,T125,Smylie Kaufman,76,1.15,265,230
T125,T125,Graeme McDowell,56,1.15,213,185
T125,T125,C.T. Pan,88,1.15,276,241
T125,T125,Cameron Tringale,89,1.15,294,256
T130,T130,Fabián Gómez,61,1.14,206,180
T130,T130,Retief Goosen,52,1.14,159,140
T130,T130,J.B. Holmes,83,1.14,292,257
T130,T130,Billy Hurley III,80,1.14,290,255
134,134,Geoff Ogilvy,80,1.13,230,203
T135,T135,Wesley Bryan,95,1.12,319,286
T135,T135,Brian Campbell,55,1.12,181,162
T135,T135,Rick Lamb,54,1.12,179,160
T135,T135,Sebastián Muñoz,51,1.12,183,164
T139,T139,Rafa Cabrera Bello,63,1.11,211,190
T139,T139,Alex Cejka,85,1.11,239,215
T139,T139,Jim Furyk,54,1.11,158,142
T139,T139,Jason Kokrak,95,1.11,353,317
T143,T143,Jonas Blixt,74,1.10,253,231
T143,T143,K.J. Choi,72,1.10,209,190
T143,T143,Cody Gribble,79,1.10,286,261
T143,T143,William McGirt,89,1.10,275,251
T147,T147,Billy Horschel,88,1.09,294,270
T147,T147,Spencer Levin,89,1.09,266,245
T147,T147,Nicholas Lindheim,58,1.09,202,186
T147,T147,D.A. Points,68,1.09,235,216
T147,T147,Johnson Wagner,71,1.09,214,196
T147,T147,Boo Weekley,75,1.09,255,234
T153,T153,Luke Donald,50,1.08,154,143
T153,T153,Derek Fathauer,81,1.08,281,259
T153,T153,J.J. Henry,92,1.08,264,244
T153,T153,Ryo Ishikawa,56,1.08,187,173
157,157,Daniel Summerhays,100,1.07,323,303
T158,T158,Dominic Bozzelli,69,1.06,234,220
T158,T158,Chad Collins,66,1.06,200,188
T158,T158,Mark Hubbard,81,1.06,233,219
T158,T158,Patton Kizzire,84,1.06,277,261
T162,T162,Brett Drewitt,57,1.05,178,170
T162,T162,Jonathan Randolph,68,1.05,222,211
T162,T162,Brian Stuard,93,1.05,293,279
T162,T162,Steve Wheatcroft,51,1.05,148,141
T166,T166,Byeong Hun An,77,1.04,254,244
T166,T166,Brad Fritsch,56,1.04,190,183
T166,T166,Michael Thompson,60,1.04,180,173
169,169,Bubba Watson,71,1.03,227,220
T170,T170,Ryan Palmer,61,1.01,172,170
T170,T170,Kyle Reifers,96,1.01,266,263
T170,T170,Jimmy Walker,68,1.01,225,222
T173,T173,Miguel Angel Carballo,63,1.00,196,196
T173,T173,Greg Chalmers,75,1.00,237,238
T175,T175,Ken Duke,77,.99,229,232
T175,T175,Hunter Mahan,73,.99,231,233
177,177,Bryce Molder,74,.98,232,236
178,178,Brett Stegmaier,78,.97,257,266
179,179,Kelly Kraft,75,.96,242,252
180,180,Patrick Rodgers,76,.95,245,257
T181,T181,Roberto Castro,70,.93,205,221
T181,T181,Søren Kjeldsen,58,.93,165,178
183,183,Matt Every,76,.89,264,297
T184,T184,Jason Bohn,75,.87,199,229
T184,T184,Carl Pettersson,63,.87,194,224
186,186,Rod Pampling,71,.86,223,259
187,187,Si Woo Kim,80,.84,237,282
188,188,Ernie Els,52,.79,151,192
189,189,Andrew Loupe,55,.78,167,215
190,190,Steven Bowditch,59,.54,133,248
